"","CH_GSPover100_by_GST","CH_GSPover100_plus_GST","CH_GST","CH_GSPover100"
"AIC.OLS",1017.64399120421,1026.19571026374,1135.01360682852,1068.77469677741
"OLS.coef.(Intercept)",1.9232491060618,1.92952611937582,1.93227321035991,1.93129696970576
"OLS.se.(Intercept)",0.00814630039100036,0.0079362301680809,0.00819244958416084,0.00803416329220317
"OLS.t.(Intercept)",236.088655432657,243.12880026291,235.860250406147,240.385575879446
"OLS.t.P.(Intercept)",0,0,0,0
"OLS.coef.GSPover100",0.323517525778434,0.331699904758988,NA,0.386345496776058
"OLS.se.GSPover100",0.0310400044395457,0.0310247221554952,NA,0.0303245497652141
"OLS.t.GSPover100",10.4225992109159,10.6914705987218,NA,12.740353929978
"OLS.t.P.GSPover100",1.06981119816495e-24,7.27684971422282e-26,NA,1.41818545352482e-35
"OLS.coef.GST",0.393165475961127,0.41832324346268,0.59303691251238,NA
"OLS.se.GST",0.0626042387157676,0.0622984296921889,0.0620904060123892,NA
"OLS.t.GST",6.28017341998447,6.71482805472913,9.5511843229701,NA
"OLS.t.P.GST",4.28718504425078e-10,2.56020826767754e-11,4.2960765179141e-21,NA
"OLS.coef.GSPover100:GST",0.706620383574878,NA,NA,NA
"OLS.se.GSPover100:GST",0.21745121301967,NA,NA,NA
"OLS.t.GSPover100:GST",3.24955825153736,NA,NA,NA
"OLS.t.P.GSPover100:GST",0.00117847541245862,NA,NA,NA
"OLS.F.(Intercept)",59998.0844463534,59661.9933961863,55929.7978671407,58152.0632314776
"OLS.F.P.(Intercept)",0,0,0,0
"OLS.F.GSPover100",167.469314557437,166.531202310692,NA,162.316618261106
"OLS.F.P.GSPover100",1.34170972627691e-36,2.05716192153864e-36,NA,1.41818545352482e-35
"OLS.F.GST",45.3429130346569,45.0889158045773,91.2251219713498,NA
"OLS.F.P.GST",2.25678772712898e-11,2.56020826767754e-11,4.2960765179141e-21,NA
"OLS.F.GSPover100:GST",10.5596288301346,NA,NA,NA
"OLS.F.P.GSPover100:GST",0.00117847541245862,NA,NA,NA
"OLS.resid.norm.P",1.41343267452263e-23,1.11177001853255e-22,3.7e-24,3.7e-24
"AIC.PGLS",240.520731745462,249.8708050815,264.41490344114,262.40380138121
"lambda",0.850052456243259,0.846773390067859,0.848506004385457,0.846692220489288
"lambda.P",0,0,0,0
"PGLS.coef.(Intercept)",1.96251865457489,1.98032351596868,1.99629712451348,1.99800894677186
"PGLS.se.(Intercept)",0.196595064772125,0.195644902593124,0.197283269340107,0.196333608783645
"PGLS.t.(Intercept)",9.98254283163041,10.1220297064784,10.118937764925,10.1766017502058
"PGLS.t.P.(Intercept)",7.65017998972405e-23,2.00916703281633e-23,2.06815239798711e-23,1.18495095843897e-23
"PGLS.coef.GSPover100",0.125943772599444,0.121791799429721,NA,0.130828911696137
"PGLS.se.GSPover100",0.0298187534075882,0.0298883601343435,NA,0.0299134755863346
"PGLS.t.GSPover100",4.22364311740123,4.07489065583679,NA,4.37357776492891
"PGLS.t.P.GSPover100",2.5314295526148e-05,4.816095488789e-05,NA,1.2965077988456e-05
"PGLS.coef.GST",0.280330625908112,0.291152093964871,0.315777873842502,NA
"PGLS.se.GST",0.0760947565146086,0.0762775258186996,0.0763760068515215,NA
"PGLS.t.GST",3.6839677101049,3.81701019848096,4.13451667427951,NA
"PGLS.t.P.GST",0.000236837828875638,0.000139928459666685,3.73060328221955e-05,NA
"PGLS.coef.GSPover100:GST",0.613706353547471,NA,NA,NA
"PGLS.se.GSPover100:GST",0.181800570166326,NA,NA,NA
"PGLS.t.GSPover100:GST",3.37571192975909,NA,NA,NA
"PGLS.t.P.GSPover100:GST",0.000752867502534357,NA,NA,NA
"PGLS.F.(Intercept)",105.435891607583,106.389282216478,104.586191460413,105.585007823118
"PGLS.F.P.(Intercept)",4.87331156031356e-24,3.0957142160311e-24,7.2848819867232e-24,4.53175790483271e-24
"PGLS.F.GSPover100",19.3721308709808,19.2804012997589,NA,19.1281824658806
"PGLS.F.P.GSPover100",1.14271233477894e-05,1.19825407598607e-05,NA,1.2965077988456e-05
"PGLS.F.GST",14.660609535089,14.5695668553077,17.0942281298953,NA
"PGLS.F.P.GST",0.000133387407287245,0.000139928459666685,3.73060328221955e-05,NA
"PGLS.F.GSPover100:GST",11.3954310327178,NA,NA,NA
"PGLS.F.P.GSPover100:GST",0.000752867502534357,NA,NA,NA
"PGLS.phy.resid.lambda",6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05
"PGLS.phy.resid.lambda.P",1,1,1,1
"PGLS.phy.resid.norm.P",1.05087822097888e-10,4.76994877613257e-10,3.68948174590829e-09,4.92290676348211e-09
