"","CH_MAPover50_by_MATplus20","CH_MAPover50_plus_MATplus20","CH_MATplus20","CH_MAPover50"
"AIC.OLS",1051.15530457179,1066.73365492351,1181.33612995654,1134.95861841164
"OLS.coef.(Intercept)",1.92404504161309,1.92843354465963,1.9284463375779,1.92844407024959
"OLS.se.(Intercept)",0.00794186893423737,0.00791061240964439,0.00817953428225586,0.00807056551711919
"OLS.t.(Intercept)",242.266028002369,243.778034467792,235.764808977125,238.947824183943
"OLS.t.P.(Intercept)",0,0,0,0
"OLS.coef.MAPover50",0.369110188594761,0.377102169385301,NA,0.432614030380836
"OLS.se.MAPover50",0.0342538011371823,0.0343652078259401,NA,0.0344148002174106
"OLS.t.MAPover50",10.7757438982179,10.9733708376019,NA,12.5705809026308
"OLS.t.P.MAPover50",3.00530150182133e-26,3.95073228239386e-27,NA,9.67228365177223e-35
"OLS.coef.MATplus20",0.87413896711649,0.709118400369956,0.88480507075402,NA
"OLS.se.MATplus20",0.0922286572300368,0.0838349962423133,0.0850895518109702,NA
"OLS.t.MATplus20",9.47795396105803,8.4585010097734,10.3985160565853,NA
"OLS.t.P.MATplus20",8.23651434707415e-21,5.6864370059473e-17,1.31815892709582e-24,NA
"OLS.coef.MAPover50:MATplus20",1.01875261167035,NA,NA,NA
"OLS.se.MAPover50:MATplus20",0.242648631017084,NA,NA,NA
"OLS.t.MAPover50:MATplus20",4.19846840841488,NA,NA,NA
"OLS.t.P.MAPover50:MATplus20",2.82422728903113e-05,NA,NA,NA
"OLS.F.(Intercept)",60002.016804088,59429.5123760919,55585.973487247,57097.1503418083
"OLS.F.P.(Intercept)",0,0,0,0
"OLS.F.MAPover50",166.058881947645,164.47444445226,NA,158.019504229586
"OLS.F.P.MAPover50",2.40780346178947e-36,4.97264537260069e-36,NA,9.67228365177223e-35
"OLS.F.MATplus20",72.2354682555873,71.5462393323377,108.129136179062,NA
"OLS.F.P.MATplus20",4.06819107825174e-17,5.6864370059473e-17,1.31815892709582e-24,NA
"OLS.F.MAPover50:MATplus20",17.6271369764578,NA,NA,NA
"OLS.F.P.MAPover50:MATplus20",2.82422728903113e-05,NA,NA,NA
"OLS.resid.norm.P",2.33855099897493e-21,3.97720676958942e-22,2.20689184994248e-23,8.6824298137293e-24
"AIC.PGLS",274.499973069908,279.255372475142,297.317670913241,295.649706498781
"lambda",0.847846720104025,0.847308367824275,0.84887297576447,0.845105888937071
"lambda.P",0,0,0,0
"PGLS.coef.(Intercept)",1.96843748485168,1.98256675080298,1.99900246634193,1.99557946505196
"PGLS.se.(Intercept)",0.197689814039442,0.197699362695651,0.199475778720785,0.197674136146752
"PGLS.t.(Intercept)",9.95720236986489,10.0281898928276,10.0212791706407,10.0952987778353
"PGLS.t.P.(Intercept)",9.51320587423202e-23,4.82956754159251e-23,5.15548690295296e-23,2.53435394839278e-23
"PGLS.coef.MAPover50",0.156710372117551,0.151097784794718,NA,0.170472199487809
"PGLS.se.MAPover50",0.0336723733630967,0.0336590688254493,NA,0.0335289381613409
"PGLS.t.MAPover50",4.65397465238662,4.48906609919268,NA,5.08433039744648
"PGLS.t.P.MAPover50",3.5045075349354e-06,7.62691848411545e-06,NA,4.08990871779725e-07
"PGLS.coef.MATplus20",0.575343217113645,0.406198303924829,0.463106409380767,NA
"PGLS.se.MATplus20",0.114600496808687,0.0945022084999461,0.0941389289411596,NA
"PGLS.t.MATplus20",5.02042515639453,4.29829429780004,4.91939322647516,NA
"PGLS.t.P.MATplus20",5.68841984746287e-07,1.81724454599008e-05,9.50688287160533e-07,NA
"PGLS.coef.MAPover50:MATplus20",0.566847419213438,NA,NA,NA
"PGLS.se.MAPover50:MATplus20",0.218116431440574,NA,NA,NA
"PGLS.t.MAPover50:MATplus20",2.59882951261228,NA,NA,NA
"PGLS.t.P.MAPover50:MATplus20",0.00943394106855359,NA,NA,NA
"PGLS.F.(Intercept)",104.197438545882,104.109096255134,102.227021857677,104.112701069764
"PGLS.F.P.(Intercept)",8.55973773745299e-24,8.91967739137907e-24,2.1841936983625e-23,8.89675705793193e-24
"PGLS.F.MAPover50",26.1959550875095,26.1094183797781,NA,25.8504155903983
"PGLS.F.P.MAPover50",3.42921368376278e-07,3.58376957885143e-07,NA,4.08990871779725e-07
"PGLS.F.MATplus20",18.5443040393453,18.4753338705004,24.2004297166897,NA
"PGLS.F.P.MATplus20",1.75339139515583e-05,1.81724454599008e-05,9.50688287160533e-07,NA
"PGLS.F.MAPover50:MATplus20",6.7539148356246,NA,NA,NA
"PGLS.F.P.MAPover50:MATplus20",0.00943394106855359,NA,NA,NA
"PGLS.phy.resid.lambda",6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05
"PGLS.phy.resid.lambda.P",1,1,1,1
"PGLS.phy.resid.norm.P",3.15592876212479e-11,1.48229866624037e-10,2.02361756420395e-09,2.12441660154844e-10
